pressure branch 0 node 0,pressure branch 0 node 1,pressure branch 1 node 0,pressure branch 1 node 1,pressure branch 2 node 0,pressure branch 2 node 1,pressure branch 3 node 0,pressure branch 3 node 1,pressure branch 4 node 0,pressure branch 4 node 1,pressure branch 5 node 0,pressure branch 5 node 1,pressure branch 6 node 0,pressure branch 6 node 1,
98277.51,95221.73,94488.64,81918.38,95312.38,76927.94,94086.78,87342.31,89068.54,83031.40,90814.83,83725.14,95713.37,80404.72
98803.83,95538.97,94746.41,82260.38,95715.65,77011.06,94163.37,87057.83,89118.77,83348.02,90918.36,84104.01,96057.46,80684.59
99184.32,95847.80,95002.08,82606.53,96113.16,77097.20,94203.87,87014.14,89453.42,83663.95,91291.25,84482.82,96400.09,80970.04
99415.99,96148.49,95253.51,82956.62,96504.13,77186.32,94217.67,87230.38,90072.05,83987.96,91938.45,84870.00,96738.23,81260.96
99501.36,96440.24,95496.86,83310.37,96886.27,77278.43,94215.98,87700.01,90943.82,84328.42,92837.08,85273.79,97067.13,81557.18
99448.43,96720.97,95726.71,83667.48,97255.83,77373.52,94210.49,88391.47,92010.78,84692.31,93938.80,85701.38,97380.42,81858.51
99280.73,96987.42,95936.49,84027.50,97607.85,77471.59,94211.68,89250.88,93194.14,85084.49,95174.64,86158.18,97670.67,82164.65
99021.89,97235.10,96118.90,84389.88,97936.43,77572.62,94226.92,90206.81,94402.64,85507.13,96461.68,86647.20,97929.80,82475.21
98708.33,97458.57,96266.57,84753.93,98235.18,77676.61,94258.97,91176.84,95542.29,85959.48,97711.08,87168.71,98149.80,82789.71
98374.89,97651.76,96372.67,85118.83,98497.67,77783.50,94305.05,92076.01,96525.93,86437.89,98836.65,87720.16,98323.41,83107.54
98052.65,97808.27,96431.41,85483.63,98717.84,77893.23,94356.63,92822.68,97281.93,86936.19,99763.12,88296.37,98444.59,83428.00
97774.48,97921.99,96438.64,85847.27,98890.46,78005.73,94400.39,93351.15,97760.91,87446.23,100433.36,88889.97,98509.09,83750.29
97561.73,97987.62,96392.12,86208.63,99011.53,78120.85,94419.89,93614.83,97939.78,87958.69,100813.67,89492.01,98514.77,84073.55
97434.07,98001.35,96291.86,86566.54,99078.73,78238.46,94397.93,93592.00,97823.17,88463.90,100896.74,90092.84,98461.84,84396.87
97398.65,97961.38,96140.24,86919.82,99091.70,78358.36,94319.05,93287.61,97442.10,88952.75,100701.92,90682.85,98353.03,84719.33
97450.49,97868.27,95941.91,87267.38,99052.17,78480.37,94171.45,92732.37,96850.34,89417.43,100272.81,91253.41,98193.36,85040.03
97578.72,97725.06,95703.61,87608.18,98964.05,78604.24,93948.52,91978.45,96118.88,89852.13,99672.49,91797.52,97989.91,85358.12
97759.64,97537.17,95433.77,87941.31,98833.21,78729.75,93649.49,91096.85,95328.99,90253.43,98976.88,92310.39,97751.43,85672.85
97967.65,97312.11,95142.09,88266.05,98667.14,78856.66,93279.65,90166.30,94564.54,90620.59,98267.04,92789.76,97487.84,85983.54
98168.65,97058.97,94838.95,88581.84,98474.43,78984.76,92849.90,89268.28,93904.09,90955.45,97621.28,93235.95,97209.59,86289.66
98330.92,96787.87,94534.82,88888.31,98264.11,79113.83,92376.04,88478.86,93413.54,91262.21,97107.73,93651.72,96927.07,86590.81
98422.92,96509.22,94239.59,89185.32,98044.93,79243.69,91877.79,87861.99,93139.96,91546.90,96778.23,94041.84,96649.88,86886.72
98415.54,96233.00,93961.85,89472.87,97824.62,79374.18,91377.36,87464.12,93107.26,91816.74,96663.98,94412.51,96386.17,87177.26
98289.87,95967.96,93708.24,89751.17,97609.28,79505.18,90897.74,87310.38,93314.26,92079.37,96773.26,94770.70,96141.92,87462.42
98033.55,95720.86,93482.89,90020.54,97402.90,79636.59,90460.66,87402.76,93735.30,92342.06,97091.46,95123.37,95920.44,87742.28
97647.30,95495.88,93286.96,90281.36,97207.08,79768.36,90084.42,87720.32,94323.48,92610.96,97583.16,95476.79,95722.04,88016.98
97141.39,95294.17,93118.56,90534.06,97021.07,79900.42,89781.77,88221.50,95015.98,92890.51,98196.23,95835.90,95543.92,88286.68
96534.57,95113.82,92972.77,90779.03,96841.83,80032.78,89558.26,88848.03,95741.03,93183.06,98867.23,96203.85,95380.43,88551.52
95856.16,94949.05,92842.18,91016.59,96664.47,80165.42,89411.27,89532.66,96425.40,93488.65,99527.84,96581.69,95223.59,88811.61
95139.71,94792.77,92717.55,91246.92,96482.76,80298.33,89330.15,90202.37,97001.88,93805.06,100111.52,96968.31,95063.93,89066.95
94423.84,94635.32,92588.79,91470.03,96289.79,80431.51,89297.46,90789.49,97415.59,94128.15,100559.76,97360.54,94891.57,89317.43
